name,start,end,class,cluster
ophB1,2522,4276,Monooxygenase,ophA
ophC,5286,4718,NTF2-like,ophA
ophA,9536,10904,Methyltransferase,ophA
ophD,12616,11859,O-acyltransferase,ophA
ophB2,13183,15046,Monooxygenase,ophA
ophP,19346,16016,Prolyloligopeptidase,ophA
ophE,20170,21484,F-box/RNHI-like,ophA
dbophB1,40768,43005,Monooxygenase,dbophA
dbophB2,38089,40469,Monooxygenase,dbophA
dbophC,37262,37791,NTF2-like,dbophA
dbophD1,34955,36331,O-acyltransferase,dbophA
dbophB3,32392,34679,Monooxygenase,dbophA
dbophA,28937,30516,Methyltransferase,dbophA
dbophD2,27371,28885,O-acyltransferase,dbophA
dbophB4,25288,27217,Monooxygenase,dbophA
dbophP,21283,24607,Prolyloligopeptidase,dbophA
dbophE,19236,20583,F-box/RNHI-like,dbophA
